10	7-28	tissuelist:TS-0739
16	3-11	taxonomy:9606,tissuelist:TS-0739
17	40-42	tissuelist:TS-0739
19	6-8	cellosaurus:CVCL_0480,tissuelist:TS-0739,cellosaurus:CVCL_0428
20	2-4	tissuelist:TS-0739
20	6-10	tissuelist:TS-0739
23	0-4	tissuelist:TS-0739
23	26-29	tissuelist:TS-0739
28	57-61	tissuelist:TS-0739
28	59-61	tissuelist:TS-0739
30	0-5	tissuelist:TS-0739
30	0-7	tissuelist:TS-0739
30	0-10	tissuelist:TS-0739
30	0-11	tissuelist:TS-0739
35	0-40	tissuelist:TS-0739
35	2-30	tissuelist:TS-0739
35	2-40	tissuelist:TS-0739
35	5-30	tissuelist:TS-0739
35	5-40	tissuelist:TS-0739
36	87-88	tissuelist:TS-0739
38	2-7	tissuelist:TS-0739
38	2-10	tissuelist:TS-0739
38	21-27	
38	21-32	cellosaurus:CVCL_0152
38	32-40	
39	0-6	tissuelist:TS-0739
41	0-5	
41	0-7	
41	0-10	tissuelist:TS-0739
44	1-3	
44	1-5	tissuelist:TS-0736,uaz:CL:0000622
45	0-3	tissuelist:TS-0739
45	0-13	tissuelist:TS-0739
45	0-17	tissuelist:TS-0739
46	0-2	tissuelist:TS-0739
47	0-11	tissuelist:TS-0739
